mpId,nameFirst,nameLast,libelleAbrev,mandat,search,bluesky,pseudo,active
PA267306,André,Chassaigne,GDR,1,https://bsky.app/search?q=Andr%C3%A9+Chassaigne,1,andrechassaigne.bsky.social,0
PA794008,Cyrielle,Chatelain,ECOS,1,https://bsky.app/search?q=Cyrielle+Chatelain,1,cyriellechtl.bsky.social,1
PA840721,Marc,Chavent,UDR,1,https://bsky.app/search?q=Marc+Chavent,0,,
PA795908,Yannick,Chenevard,EPR,1,https://bsky.app/search?q=Yannick+Chenevard,0,,
PA720468,Sébastien,Chenu,RN,1,https://bsky.app/search?q=S%C3%A9bastien+Chenu,0,,0
PA791812,Sophia,Chikirou,LFI-NFP,1,https://bsky.app/search?q=Sophia+Chikirou,0,,
PA642868,Paul,Christophe,HOR,1,https://bsky.app/search?q=Paul+Christophe,0,,
PA840903,Paul,Christophle,SOC,1,https://bsky.app/search?q=Paul+Christophle,1,paulchristophle.bsky.social,1
PA794198,Roger,Chudeau,RN,1,https://bsky.app/search?q=Roger+Chudeau,0,,
PA330240,Éric,Ciotti,UDR,1,https://bsky.app/search?q=%C3%89ric+Ciotti,0,,
PA840159,Bruno,Clavet,RN,1,https://bsky.app/search?q=Bruno+Clavet,0,,
PA793736,Hadrien,Clouet,LFI-NFP,1,https://bsky.app/search?q=Hadrien+Clouet,1,hadrienclouet.bsky.social,1
PA841431,Nathalie,Colin-Oesterlé,HOR,1,https://bsky.app/search?q=Nathalie+Colin-Oesterl%C3%A9,0,,
PA719286,Paul-André,Colombani,LIOT,1,https://bsky.app/search?q=Paul-Andr%C3%A9+Colombani,0,,
PA793548,Caroline,Colombier,RN,1,https://bsky.app/search?q=Caroline+Colombier,0,,
PA721202,Éric,Coquerel,LFI-NFP,1,https://bsky.app/search?q=%C3%89ric+Coquerel,1,ericcoquerel.bsky.social,1
PA721210,Alexis,Corbière,ECOS,1,https://bsky.app/search?q=Alexis+Corbi%C3%A8re,1,alexiscorbiere.bsky.social,1
PA718850,Pierre,Cordier,DR,1,https://bsky.app/search?q=Pierre+Cordier,0,,
PA719118,François,Cormier-Bouligeon,EPR,1,https://bsky.app/search?q=Fran%C3%A7ois+Cormier-Bouligeon,0,,
PA722390,Josiane,Corneloup,DR,1,https://bsky.app/search?q=Josiane+Corneloup,0,,
PA793520,Mickaël,Cosson,DEM,1,https://bsky.app/search?q=Micka%C3%ABl+Cosson,0,,
PA795136,Jean-François,Coulomme,LFI-NFP,1,https://bsky.app/search?q=Jean-Fran%C3%A7ois+Coulomme,0,,
PA841295,Pierrick,Courbon,SOC,1,https://bsky.app/search?q=Pierrick+Courbon,0,,
PA793716,Laurent,Croizier,DEM,1,https://bsky.app/search?q=Laurent+Croizier,0,,
PA793322,Christelle,D'Intorni,UDR,1,https://bsky.app/search?q=Christelle+D%27Intorni,0,,
PA795644,Nathalie,Da Conceicao Carvalho,RN,1,https://bsky.app/search?q=Nathalie+Da%20Conceicao%20Carvalho,0,,
PA332523,Marie-Christine,Dalloz,DR,1,https://bsky.app/search?q=Marie-Christine+Dalloz,0,,
PA607846,Gérald,Darmanin,EPR,0,https://bsky.app/search?q=G%C3%A9rald+Darmanin,0,,
PA719914,Geneviève,Darrieussecq,DEM,1,https://bsky.app/search?q=Genevi%C3%A8ve+Darrieussecq,0,,
PA793122,Romain,Daubié,DEM,1,https://bsky.app/search?q=Romain+Daubi%C3%A9,0,,
PA793452,Hendrik,Davi,ECOS,1,https://bsky.app/search?q=Hendrik+Davi,1,hendrikdavi.bsky.social,1
PA1008,Alain,David,SOC,1,https://bsky.app/search?q=Alain+David,1,alaindavid.bsky.social,0
PA942,Charles,de Courson,LIOT,1,https://bsky.app/search?q=Charles+de%20Courson,0,,
PA841613,Marc,de Fleurian,RN,1,https://bsky.app/search?q=Marc+de%20Fleurian,0,,
PA642988,Hervé,de Lépinau,RN,1,https://bsky.app/search?q=Herv%C3%A9+de%20L%C3%A9pinau,0,,
PA841359,Constance,de Pélichy,LIOT,1,https://bsky.app/search?q=Constance+de%20P%C3%A9lichy,1,cdepelichy.bsky.social,0
PA840119,Sandra,Delannoy,RN,1,https://bsky.app/search?q=Sandra+Delannoy,0,,
PA793394,Arthur,Delaporte,SOC,1,https://bsky.app/search?q=Arthur+Delaporte,1,arthurdelaporte.bsky.social,1
PA795430,Stéphane,Delautrette,SOC,1,https://bsky.app/search?q=St%C3%A9phane+Delautrette,1,sdelautrette.bsky.social,0
PA793464,Sébastien,Delogu,LFI-NFP,1,https://bsky.app/search?q=S%C3%A9bastien+Delogu,1,delogusebastien.bsky.social,1
PA840713,Sophie,Delorme Duret,EPR,0,https://bsky.app/search?q=Sophie+Delorme%20Duret,0,,
PA794982,Julie,Delpech,EPR,1,https://bsky.app/search?q=Julie+Delpech,0,,
PA330909,Vincent,Descoeur,DR,1,https://bsky.app/search?q=Vincent+Descoeur,0,,
PA793166,Jocelyn,Dessigny,RN,1,https://bsky.app/search?q=Jocelyn+Dessigny,0,,
PA794042,Sylvie,Dezarnaud,DR,1,https://bsky.app/search?q=Sylvie+Dezarnaud,0,,
PA720386,Fabien,Di Filippo,DR,1,https://bsky.app/search?q=Fabien+Di%20Filippo,0,,
PA793928,Edwige,Diaz,RN,1,https://bsky.app/search?q=Edwige+Diaz,0,,
PA841919,Dieynaba,Diop,SOC,1,https://bsky.app/search?q=Dieynaba+Diop,1,dieynadiop.bsky.social,0
PA842155,Aly,Diouara,LFI-NFP,1,https://bsky.app/search?q=Aly+Diouara,0,,
PA722382,Benjamin,Dirx,EPR,1,https://bsky.app/search?q=Benjamin+Dirx,0,,
PA712015,Julien,Dive,DR,1,https://bsky.app/search?q=Julien+Dive,0,,
PA794762,Sandrine,Dogor-Such,RN,1,https://bsky.app/search?q=Sandrine+Dogor-Such,0,,
PA606573,Fanny,Dombre Coste,SOC,1,https://bsky.app/search?q=Fanny+Dombre%20Coste,0,,
PA793146,Nicolas,Dragon,RN,1,https://bsky.app/search?q=Nicolas+Dragon,0,,
PA720154,Nicole,Dubré-Chirat,EPR,1,https://bsky.app/search?q=Nicole+Dubr%C3%A9-Chirat,0,,
PA608826,Virginie,Duby-Muller,DR,1,https://bsky.app/search?q=Virginie+Duby-Muller,0,,
PA841633,Peio,Dufau,SOC,1,https://bsky.app/search?q=Peio+Dufau,1,peiodufau.bsky.social,1
PA840135,Alexandre,Dufosset,RN,1,https://bsky.app/search?q=Alexandre+Dufosset,0,,
PA795200,Alma,Dufour,LFI-NFP,1,https://bsky.app/search?q=Alma+Dufour,1,almadufour.bsky.social,1
PA841351,Emmanuel,Duplessy,ECOS,1,https://bsky.app/search?q=Emmanuel+Duplessy,0,,
PA643175,Stella,Dupont,NI,1,https://bsky.app/search?q=Stella+Dupont,0,,
PA842073,Gaëtan,Dussausaye,RN,1,https://bsky.app/search?q=Ga%C3%ABtan+Dussausaye,0,,
PA841761,Aurélien,Dutremble,RN,1,https://bsky.app/search?q=Aur%C3%A9lien+Dutremble,0,,
PA794854,Inaki,Echaniz,SOC,1,https://bsky.app/search?q=Inaki+Echaniz,1,inakiechaniz.bsky.social,1
PA794718,Christine,Engrand,NI,1,https://bsky.app/search?q=Christine+Engrand,0,,
PA795844,Karen,Erodi,LFI-NFP,1,https://bsky.app/search?q=Karen+Erodi,0,,
PA607193,Sophie,Errante,NI,1,https://bsky.app/search?q=Sophie+Errante,0,,
PA842195,Romain,Eskenazi,SOC,1,https://bsky.app/search?q=Romain+Eskenazi,1,romaineskenazi.bsky.social,1
PA841621,Auguste,Evrard,RN,1,https://bsky.app/search?q=Auguste+Evrard,0,,
PA794658,Philippe,Fait,EPR,1,https://bsky.app/search?q=Philippe+Fait,0,,
PA793246,Frédéric,Falcon,RN,1,https://bsky.app/search?q=Fr%C3%A9d%C3%A9ric+Falcon,0,,
PA605694,Olivier,Falorni,DEM,1,https://bsky.app/search?q=Olivier+Falorni,0,,
PA721896,Elsa,Faucillon,GDR,1,https://bsky.app/search?q=Elsa+Faucillon,1,elsafaucillon.bsky.social,1
PA609332,Olivier,Faure,SOC,1,https://bsky.app/search?q=Olivier+Faure,1,olivierfaure.bsky.social,1
PA267042,Yannick,Favennec-Bécot,LIOT,1,https://bsky.app/search?q=Yannick+Favennec-B%C3%A9cot,0,,
PA840773,Olivier,Fayssat,UDR,1,https://bsky.app/search?q=Olivier+Fayssat,0,,
PA841665,Denis,Fégné,SOC,1,https://bsky.app/search?q=Denis+F%C3%A9gn%C3%A9,0,,
PA841251,Mathilde,Feld,LFI-NFP,1,https://bsky.app/search?q=Mathilde+Feld,1,mathildefeld.bsky.social,1
PA794786,Emmanuel,Fernandes,LFI-NFP,1,https://bsky.app/search?q=Emmanuel+Fernandes,1,emmanfernandes.bsky.social,1
PA795884,Marc,Ferracci,EPR,0,https://bsky.app/search?q=Marc+Ferracci,0,,
PA795120,Marina,Ferrari,DEM,1,https://bsky.app/search?q=Marina+Ferrari,0,,
PA794870,Sylvie,Ferrer,LFI-NFP,1,https://bsky.app/search?q=Sylvie+Ferrer,1,sylvieferrer.bsky.social,1
PA719938,Marc,Fesneau,DEM,1,https://bsky.app/search?q=Marc+Fesneau,1,mfesneau.bsky.social,0
PA722134,Jean-Marie,Fiévet,EPR,1,https://bsky.app/search?q=Jean-Marie+Fi%C3%A9vet,0,,
